PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,0.064,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10,mg/L,"topical, general",-,lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,27.1,mg/L,"environmental, unspecified",-,trichogrammid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.3,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.55,mg/L,static,-,common carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.49,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.05,mg/L,flow-through,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.2,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,22.46,ppm,immersion,-,damsel bug,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.8,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.5,mg/L,static,-,common carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.538,mg/L,static,-,"motsuga, stone moroko",ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.27,ug/eu,"environmental, unspecified",-,sevenspotted lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.2,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,19.7,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.63,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.3,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.96,mg/L,static,-,sheepshead minnow,ECOTOX,ECOTOX Details
